89	6	41	
89	6	41	
89	6	42	
48	4	43	
48	4	43	
29	3	43	
28	3	44	
28	3	44	
22	3	45	
28	2	46	
29	2	47	
33	1	51	
30	1	52	
22	0	82	
23	6	43	
23	6	43	
23	6	43	
22	6	44	
22	3	44	
19	3	44	
19	3	44	
19	3	45	
16	3	47	
23	2	49	
19	2	51	
15	1	58	
0	0	95	
17	6	45	
17	6	45	
16	6	45	
16	6	45	
16	6	46	
16	6	46	
13	3	47	
13	3	47	
13	3	48	
12	2	52	
10	2	60	
0	0	95	
16	3	46	
13	6	46	
13	6	46	
13	6	47	
13	3	47	
13	3	48	
11	6	50	
9	5	53	
8	2	56	
6	2	62	
0	0	95	
13	6	47	
13	3	47	
13	6	48	
11	6	49	
10	6	50	
10	6	50	
9	5	52	
8	2	56	
6	2	65	
0	0	95	
11	6	49	
11	6	49	
10	6	50	
10	6	51	
9	5	52	
7	5	54	
7	5	56	
5	2	68	
0	0	94	
10	6	50	
10	6	51	
9	5	52	
8	6	53	
7	5	55	
6	5	60	
3	2	69	
0	0	95	
9	5	52	
8	6	53	
7	5	54	
7	5	56	
6	5	61	
4	2	69	
0	0	94	
8	6	53	
7	5	55	
6	5	60	
6	5	61	
3	2	69	
0	0	95	
7	5	56	
6	5	60	
6	2	67	
3	2	69	
0	0	95	
6	5	60	
4	2	69	
3	2	71	
0	0	95	
4	2	69	
3	2	72	
0	0	95	
3	2	75	
0	0	95	
0	1	94	
