129	5	3	
92	5	3	
61	1	4	
61	1	4	
61	1	4	
61	1	4	
61	1	4	
61	1	4	
61	1	4	
77	1	4	
53	1	5	
6	1	8	
34	0	11	
8	0	12	
19	1	5	
19	1	5	
23	1	5	
19	1	5	
19	1	5	
12	1	6	
12	1	6	
12	1	6	
6	1	6	
8	1	6	
4	1	8	
8	0	12	
0	0	22	
12	1	6	
12	1	6	
12	1	6	
8	1	6	
6	1	6	
6	1	6	
6	1	6	
6	1	6	
6	1	7	
4	1	7	
5	1	9	
0	0	22	
8	1	6	
6	1	6	
6	1	6	
6	1	6	
6	1	6	
6	1	6	
4	1	7	
4	1	7	
3	1	9	
3	1	9	
0	0	22	
6	1	6	
6	1	6	
6	1	6	
6	1	6	
5	1	7	
4	1	7	
4	1	7	
3	1	9	
2	1	15	
0	0	22	
6	1	6	
4	1	7	
5	1	7	
4	1	7	
4	1	8	
3	1	8	
3	1	9	
2	1	14	
0	0	22	
4	1	7	
4	1	7	
4	1	7	
3	1	8	
3	1	8	
3	1	10	
2	1	15	
0	0	22	
4	1	7	
3	1	8	
3	1	8	
3	1	8	
3	1	9	
2	1	15	
0	0	22	
3	1	8	
3	1	9	
3	1	10	
2	1	14	
2	1	17	
0	0	22	
3	1	9	
3	1	9	
2	1	14	
1	0	21	
0	0	22	
3	1	10	
2	1	14	
1	0	21	
0	0	22	
2	1	14	
1	0	21	
0	0	22	
1	0	21	
0	0	22	
0	0	22	
